user,t0,aggression_lo,aggression_hi,hypoCaution_lo,hypoCaution_hi,confirmedCap_lo,confirmedCap_hi,committedCap_lo,committedCap_hi,cumulative60_lo,cumulative60_hi,primerCap_lo,primerCap_hi
tim,2026-02-13 00:00:00+00:00,0.92,1.0,1.0,1.4,1.5,2.0,0.6,0.81,2.8,3.6,0.24,0.32
tim,2026-03-13 00:00:00+00:00,0.85,0.85,1.9475,2.0,1.5,1.6657499999999992,0.41,0.84,2.3,3.2,0.1,0.21
tim,2026-04-10 00:00:00+00:00,0.85,0.92,1.2,2.0,1.5,1.5,0.32,0.4,2.1,2.3,0.08,0.14
tim,2026-05-08 00:00:00+00:00,0.85,0.92,1.1,2.0,1.5,1.5,0.41,0.5,2.3,2.5,0.1,0.18524999999999978
tim,2026-06-05 00:00:00+00:00,0.85,1.0,1.0,2.0,1.5,2.0,0.3,0.4,2.1,2.6,0.08,0.14
tim,2026-07-03 00:00:00+00:00,0.85,0.92,1.1,2.0,1.5,3.0,0.31,0.37,2.1,3.7,0.08,0.15
A,2026-02-13 00:00:00+00:00,1.0,1.0,1.0,1.0,7.0,7.5,1.02,1.17,9.1,9.8,0.42,0.59
A,2026-03-13 00:00:00+00:00,1.0,1.0,1.0,1.0,7.5,7.5,1.07,1.17,9.6,9.8,0.54,0.59
A,2026-04-10 00:00:00+00:00,1.0,1.0,1.0,1.0,7.5,7.5,1.03,1.12,9.6,9.7,0.44,0.56
A,2026-05-08 00:00:00+00:00,1.0,1.0,1.0,1.0,7.5,7.5,1.01,1.11,9.5,9.7,0.42,0.55
A,2026-06-05 00:00:00+00:00,1.0,1.0,1.0,1.0,4.0,7.5,1.05,1.2052499999999997,6.1,9.7,0.42,0.57
A,2026-07-03 00:00:00+00:00,1.0,1.0,1.0,1.0,6.2,7.5,1.09,1.15,8.5,9.8,0.44,0.57
B,2026-03-13 00:00:00+00:00,0.92,1.0,1.0,1.3,3.0,3.98,1.45,1.62,5.9,6.9,0.58,0.6
B,2026-04-10 00:00:00+00:00,0.85,0.92,1.1,1.9,3.0,3.9,1.42,1.54,5.9,6.8,0.36,0.6
B,2026-05-08 00:00:00+00:00,0.85,1.0,1.0,1.7,3.0,4.0,1.28475,1.4152499999999997,5.6,6.8,0.33,0.5652499999999998
B,2026-06-05 00:00:00+00:00,0.85,1.0,1.0,1.4,1.5,4.0,1.41,1.56,4.3,6.9,0.39,0.6
B,2026-07-03 00:00:00+00:00,0.8832500000000001,1.0,1.0,1.5,3.0,5.0,1.38,1.55,5.8,7.852499999999998,0.45650000000000013,0.6
C,2026-04-23 00:00:00+00:00,0.85,1.0,1.0,2.0,5.1765,7.5,0.85,1.05,7.0,9.4,0.22,0.42
C,2026-05-21 00:00:00+00:00,0.92,1.0,1.0,1.5,4.7,7.5,0.8595,0.96,6.5,9.3,0.33,0.38
C,2026-06-18 00:00:00+00:00,0.85,1.0,1.0,1.7524999999999977,1.7737500000000002,4.0,0.85,0.93,3.6,5.8,0.22475,0.37
D,2026-03-13 00:00:00+00:00,0.85,0.85,1.7475,2.0,1.5,2.0,0.9247500000000001,1.22,3.4,4.4,0.23,0.31
D,2026-06-05 00:00:00+00:00,0.85,0.85,2.0,2.0,1.5,2.5,1.23,1.4004999999999994,4.0,5.1,0.31,0.35
D,2026-07-03 00:00:00+00:00,0.85,0.9619999999999982,1.0,2.0,1.5,1.6262499999999989,1.27,1.3909999999999991,4.0,4.3,0.32,0.5352499999999998
E,2026-02-13 00:00:00+00:00,1.0,1.0,1.0,1.0,4.2595,5.0,0.47,0.61,5.2,6.1,0.19,0.31
E,2026-03-13 00:00:00+00:00,1.0,1.0,1.0,1.0,4.85,5.32,0.61,0.66,6.1,6.6,0.25,0.33
E,2026-04-10 00:00:00+00:00,1.0,1.0,1.0,1.0,4.45,4.78,0.68,0.72,5.8,6.2,0.34,0.36
E,2026-05-08 00:00:00+00:00,1.0,1.0,1.0,1.0,4.65,5.215249999999999,0.69,0.74,6.1,6.7,0.35,0.37
E,2026-06-05 00:00:00+00:00,1.0,1.0,1.0,1.0,4.5,4.92,0.71,0.75,6.0,6.4,0.29475,0.38
E,2026-07-03 00:00:00+00:00,1.0,1.0,1.0,1.0,4.88,5.35,0.72,0.83,6.4,6.9,0.31,0.42
F,2026-02-13 00:00:00+00:00,0.92,1.0,1.0,1.2524999999999977,3.0,4.0,0.81,0.87,4.6,5.7,0.32,0.36
F,2026-03-13 00:00:00+00:00,1.0,1.0,1.0,1.0,3.0,4.0,0.88,0.95,4.8,5.9,0.35,0.38
F,2026-04-10 00:00:00+00:00,0.85,1.0,1.0,1.7,3.0,3.0,0.99,1.08,5.0,5.2,0.26,0.43
F,2026-05-08 00:00:00+00:00,1.0,1.0,1.0,1.0,3.5,3.5,0.89,1.06,5.3,5.6,0.36,0.42
F,2026-06-05 00:00:00+00:00,0.92,1.0,1.0,1.1,6.0,6.15,0.95,1.02,7.9,8.1,0.38,0.41
F,2026-07-03 00:00:00+00:00,1.0,1.0,1.0,1.0,4.44475,4.65,0.88,0.93,6.2,6.5,0.35,0.47
H,2026-06-01 00:00:00+00:00,1.0,1.0,1.0,1.0,5.6285,6.0,1.18,1.31,8.2,8.6,0.49,0.6
H,2026-06-29 00:00:00+00:00,1.0,1.0,1.0,1.0,4.66,6.0,0.86,1.090999999999999,6.4,8.1,0.35,0.51
